epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,440.4,0.56944,0.54794,0.91643,0.63341,0.99324,0.88839,0.76661,0.68029,0.89611,0.89726,0.000294061,0.000294061,0.000294061
43,448.182,0.56067,0.51907,0.88412,0.6323,0.99833,0.81732,0.69557,0.71653,0.85811,0.92348,0.000279063,0.000279063,0.000279063
44,455.944,0.60049,0.55465,0.9435,0.58318,0.96535,0.81732,0.69458,0.74796,0.86443,0.92597,0.000264064,0.000264064,0.000264064
45,464.106,0.54164,0.49819,0.88384,0.58318,0.96535,0.81732,0.69458,0.74796,0.86443,0.92597,0.000249066,0.000249066,0.000249066
46,471.951,0.49441,0.46808,0.90626,0.87099,0.66756,0.81021,0.69487,0.73279,0.88924,0.90729,0.000234068,0.000234068,0.000234068
47,480.464,0.4977,0.47683,0.89732,0.86526,0.6905,0.88129,0.76152,0.71562,0.93528,0.89723,0.000219069,0.000219069,0.000219069
48,488.629,0.48215,0.47239,0.89045,0.85034,0.70031,0.81021,0.72332,0.69619,0.87603,0.89303,0.00020407,0.00020407,0.00020407
49,497.345,0.48228,0.4519,0.86148,0.85034,0.70031,0.81021,0.72332,0.69619,0.87603,0.89303,0.000189072,0.000189072,0.000189072
50,505.982,0.54691,0.50245,0.92197,0.55257,0.85714,0.81732,0.72747,0.70612,0.7956,0.90054,0.000174074,0.000174074,0.000174074
51,520.045,0.4697,0.52773,0.88182,0.54174,1,0.82917,0.70261,0.72078,0.7333,0.90784,0.000159075,0.000159075,0.000159075
52,528.309,0.44883,0.45509,0.82874,0.67719,0.99915,0.85286,0.70971,0.74241,0.74179,0.92244,0.000144077,0.000144077,0.000144077
53,536.478,0.44133,0.44622,0.81214,0.67719,0.99915,0.85286,0.70971,0.74241,0.74179,0.92244,0.000129078,0.000129078,0.000129078
54,545.178,0.43548,0.47496,0.86509,0.58239,0.99792,0.85286,0.73003,0.76709,0.78094,0.93975,0.00011408,0.00011408,0.00011408
55,553.367,0.46704,0.49211,0.86636,0.60388,0.99682,0.85286,0.70874,0.78124,0.8076,0.94719,9.9081e-05,9.9081e-05,9.9081e-05
56,561.761,0.42889,0.4436,0.8203,0.63514,0.9739,0.85286,0.69453,0.76466,0.80715,0.93557,8.40825e-05,8.40825e-05,8.40825e-05
57,570.112,0.4026,0.4297,0.8181,0.63514,0.9739,0.85286,0.69453,0.76466,0.80715,0.93557,6.9084e-05,6.9084e-05,6.9084e-05
58,578.888,0.41856,0.45687,0.82707,0.58154,0.83551,0.81732,0.68387,0.75185,0.81088,0.92362,5.40855e-05,5.40855e-05,5.40855e-05
59,586.788,0.39931,0.4375,0.80616,0.5994,0.84312,0.81732,0.69811,0.74416,0.80694,0.91762,3.9087e-05,3.9087e-05,3.9087e-05
60,595.246,0.41898,0.44867,0.80372,0.61068,0.83859,0.81732,0.69814,0.74065,0.81193,0.91471,2.40885e-05,2.40885e-05,2.40885e-05
