epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,728.345,0.56543,0.52692,0.92414,0.86095,0.9745,0.995,0.82803,0.6791,0.41113,0.92175,0.000236083,0.000236083,0.000236083
44,743.004,0.55227,0.43729,0.9197,0.82137,0.98612,0.995,0.85144,0.66459,0.43418,0.90611,0.000223395,0.000223395,0.000223395
45,762.488,0.5784,0.48265,0.92687,0.80432,0.98562,0.995,0.81803,0.67892,0.44649,0.92343,0.000210706,0.000210706,0.000210706
46,779.506,0.59272,0.51205,0.94311,0.73039,1,0.995,0.8398,0.68932,0.41503,0.94858,0.000198018,0.000198018,0.000198018
47,797.221,0.49882,0.42354,0.88575,0.96892,0.83616,0.995,0.82221,0.7001,0.40303,0.95451,0.000185329,0.000185329,0.000185329
48,816.556,0.56302,0.4435,0.92737,0.74383,0.98756,0.995,0.83103,0.70823,0.46735,0.94422,0.000172641,0.000172641,0.000172641
49,834.226,0.58217,0.42695,0.90721,0.79737,0.9687,0.995,0.83255,0.68975,0.52185,0.91953,0.000159952,0.000159952,0.000159952
50,853.137,0.49132,0.41777,0.88753,0.87499,0.94143,0.9785,0.83485,0.64861,0.5969,0.89498,0.000147264,0.000147264,0.000147264
51,879.743,0.5131,0.44922,0.86722,0.88238,0.93743,0.98469,0.82328,0.64998,0.60739,0.89602,0.000134575,0.000134575,0.000134575
52,893.321,0.4664,0.40143,0.8557,0.91843,0.9333,0.98469,0.83101,0.64288,0.55881,0.90199,0.000121887,0.000121887,0.000121887
53,908.95,0.46712,0.39762,0.82983,0.91326,0.93881,0.98469,0.81814,0.64923,0.54861,0.91267,0.000109198,0.000109198,0.000109198
54,926.978,0.45835,0.42079,0.86658,0.88504,0.95464,0.9785,0.80686,0.65617,0.57003,0.91897,9.65095e-05,9.65095e-05,9.65095e-05
55,943,0.45637,0.38425,0.83945,0.86786,0.95833,0.9785,0.8134,0.65777,0.56631,0.91039,8.3821e-05,8.3821e-05,8.3821e-05
56,956.373,0.38294,0.34173,0.84746,0.82372,0.95833,0.98469,0.81241,0.65592,0.55035,0.90156,7.11325e-05,7.11325e-05,7.11325e-05
57,972.96,0.43059,0.37193,0.86002,0.80946,0.95937,0.995,0.81872,0.65433,0.54708,0.90184,5.8444e-05,5.8444e-05,5.8444e-05
58,997.082,0.39775,0.45842,0.83776,0.7849,0.95985,0.995,0.82237,0.65975,0.53573,0.90529,4.57555e-05,4.57555e-05,4.57555e-05
59,1016.45,0.39987,0.33011,0.82799,0.7816,0.95949,0.995,0.81889,0.66335,0.51964,0.90941,3.3067e-05,3.3067e-05,3.3067e-05
60,1040.96,0.39265,0.34936,0.81131,0.78254,0.95846,0.995,0.81563,0.66998,0.47282,0.91185,2.03785e-05,2.03785e-05,2.03785e-05
