epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.155,1.97063,6.98498,2.12956,0.02836,0.22917,0.03626,0.01746,1.68845,6.48038,2.30746,6.921e-05,6.921e-05,6.921e-05
2,64.3165,1.03174,3.4791,1.36568,0.21952,0.33669,0.28509,0.23802,0.81395,11.8425,1.0716,0.000143699,0.000143699,0.000143699
3,106.443,0.87667,2.38289,1.14699,0.72575,0.35417,0.31027,0.25441,0.8914,5.52719,1.03839,0.000215651,0.000215651,0.000215651
4,140.014,0.86759,1.78108,1.13393,0.55138,0.43549,0.37318,0.29315,0.90264,2.87992,1.02774,0.000285064,0.000285064,0.000285064
5,172.286,0.86606,1.57243,1.09744,0.4929,0.80496,0.6101,0.486,0.81811,2.30734,1.07533,0.000351941,0.000351941,0.000351941
6,193.681,0.82475,1.38546,1.06818,0.49977,0.66667,0.54612,0.43383,0.79782,2.02728,0.98811,0.000416279,0.000416279,0.000416279
7,224.982,0.86917,1.34669,1.07854,0.47956,0.72299,0.61714,0.49261,0.83584,1.43907,1.10558,0.00047808,0.00047808,0.00047808
8,259.299,0.8424,1.20887,1.08579,0.77975,0.50985,0.56222,0.44028,0.84955,1.57029,1.08228,0.000537343,0.000537343,0.000537343
9,288.75,0.89223,1.11898,1.0689,0.53313,0.70754,0.6104,0.45228,0.84318,1.56439,1.09453,0.000594068,0.000594068,0.000594068
10,320.612,0.829,0.97371,1.04285,0.30934,0.64339,0.53869,0.42618,0.93612,2.60036,1.29664,0.000648255,0.000648255,0.000648255
11,383.502,0.83646,0.92378,1.04607,0.35679,0.8125,0.67665,0.54036,0.89676,1.85137,1.27754,0.000642115,0.000642115,0.000642115
12,423.812,0.83893,0.91273,1.04589,0.67894,0.82092,0.78384,0.55246,0.94674,1.25523,1.22677,0.000629427,0.000629427,0.000629427
13,468.714,0.80837,0.8965,1.04283,0.50689,0.85417,0.79624,0.58488,0.9263,1.13929,1.21148,0.000616738,0.000616738,0.000616738
14,506.441,0.76725,0.7377,1.01778,0.5114,0.46001,0.53957,0.42118,0.83364,1.43681,1.21192,0.00060405,0.00060405,0.00060405
15,538.611,0.7346,0.74149,1.03076,0.71599,0.70833,0.74168,0.55794,0.82376,1.30052,1.09708,0.000591361,0.000591361,0.000591361
16,575.566,0.78023,0.75513,1.00943,0.49016,0.85417,0.8569,0.67661,0.8524,0.98069,1.13626,0.000578672,0.000578672,0.000578672
17,600.711,0.77902,0.72035,1.01858,0.90464,0.57929,0.83514,0.67852,0.81685,1.11447,1.02094,0.000565984,0.000565984,0.000565984
18,628.34,0.79942,0.73068,1.0312,0.81197,0.82853,0.91511,0.72305,0.80594,0.97329,0.97549,0.000553296,0.000553296,0.000553296
19,650.535,0.76616,0.65326,1.00151,0.58327,0.83333,0.83684,0.62929,0.96807,1.24665,1.0934,0.000540607,0.000540607,0.000540607
20,674.808,0.75247,0.68808,0.99536,0.84056,0.62126,0.77435,0.56631,1.00348,1.14969,1.17033,0.000527919,0.000527919,0.000527919
21,705.614,0.74229,0.66329,1.00918,0.45218,0.83333,0.77313,0.64511,0.7525,1.01748,0.9502,0.00051523,0.00051523,0.00051523
22,734.038,0.70817,0.63451,0.99538,0.75558,0.8125,0.83457,0.70262,0.81584,0.8807,1.00737,0.000502541,0.000502541,0.000502541
23,759.585,0.71792,0.6177,1.02152,0.88277,0.79808,0.89496,0.73926,0.82226,0.84501,1.01873,0.000489853,0.000489853,0.000489853
24,786.947,0.68495,0.54722,1.01068,0.78517,0.8591,0.86299,0.6663,0.81705,0.89,1.04262,0.000477165,0.000477165,0.000477165
25,810.305,0.72343,0.60816,1.01698,0.85133,0.78668,0.94219,0.75222,0.77568,0.7955,0.99811,0.000464476,0.000464476,0.000464476
26,835.637,0.69243,0.53561,0.99549,0.89264,0.80865,0.977,0.81262,0.67475,0.61543,0.9974,0.000451787,0.000451787,0.000451787
27,859.69,0.67102,0.55128,0.99161,0.70063,0.95833,0.96841,0.82459,0.69302,0.57892,0.9912,0.000439099,0.000439099,0.000439099
28,883.969,0.65155,0.53544,0.97811,0.7585,0.95833,0.97591,0.80397,0.73266,0.58787,1.0209,0.000426411,0.000426411,0.000426411
29,904.648,0.635,0.51816,0.97123,0.92433,0.8185,0.98091,0.80283,0.69949,0.56195,1.006,0.000413722,0.000413722,0.000413722
30,928.317,0.64619,0.49237,0.96894,0.69148,0.95833,0.98333,0.81767,0.77261,0.58013,1.08095,0.000401033,0.000401033,0.000401033
31,948.37,0.64609,0.4685,0.97744,0.73959,0.95833,0.98548,0.77624,0.78339,0.62484,1.07587,0.000388345,0.000388345,0.000388345
